"","CAPOVERALL","CurrentModCodValue","USGOVERALL","DEVICEID"
"483",0,"8PSK - fifth-sixth",0,"TERM1042"
"484",0,"8PSK - three-fourth",0,"TERM1293"
"485",0,"8PSK - fifth-sixth",0,"TERM698"
"486",5000,"QPSK - ninth-tenth",0,"TERM1260"
"487",0,"8PSK - fifth-sixth",0,"TERM800"
"488",0,"8PSK - two-third",0,"TERM762"
"489",0,"8PSK - three-fourth",0,"TERM1200"
"490",0,"8PSK - eight-ninth",0,"TERM499"
"491",0,"8PSK - fifth-sixth",0,"TERM661"
"492",0,"8PSK - fifth-sixth",0,"TERM1267"
"493",0,"8PSK - fifth-sixth",0,"TERM760"
"494",5000,"8PSK - fifth-sixth",4966,"TERM1240"
"495",20000,"8PSK - two-third",17946,"TERM958"
"496",20000,"8PSK - fifth-sixth",19994,"TERM1033"
"497",20000,"8PSK - three-fourth",0,"TERM972"
"498",20000,"8PSK - three-fourth",8252,"TERM1013"
"499",20000,"8PSK - three-fourth",0,"TERM990"
"500",20000,"QPSK - fifth-sixth",18594,"TERM935"
"501",20000,"8PSK - two-third",19999,"TERM1039"
"502",20000,"8PSK - three-fourth",17582,"TERM941"
"503",20000,"8PSK - fifth-sixth",19134,"TERM79"
"504",0,"8PSK - fifth-sixth",0,"TERM1222"
"505",0,"8PSK - two-third",0,"TERM1132"
"506",0,"8PSK - fifth-sixth",0,"TERM1125"
"507",0,"8PSK - fifth-sixth",0,"TERM669"
"508",0,"8PSK - three-fourth",0,"TERM818"
"509",0,"8PSK - two-third",0,"TERM1167"
"510",0,"8PSK - eight-ninth",0,"TERM1171"
"511",0,"8PSK - fifth-sixth",0,"TERM1120"
"512",0,"8PSK - two-third",0,"TERM1156"
"513",0,"8PSK - three-fourth",0,"TERM1185"
"514",0,"8PSK - three-fourth",0,"TERM1083"
"515",0,"8PSK - fifth-sixth",0,"TERM872"
"516",0,"8PSK - fifth-sixth",0,"TERM1160"
"517",0,"8PSK - fifth-sixth",0,"TERM842"
"518",5000,"8PSK - three-fourth",0,"TERM1172"
"519",0,"8PSK - three-fourth",0,"TERM1110"
"520",0,"8PSK - three-fourth",0,"TERM1103"
"521",0,"8PSK - two-third",0,"TERM514"
"522",0,"8PSK - three-fourth",0,"TERM828"
"523",0,"8PSK - fifth-sixth",0,"TERM1009"
"524",0,"8PSK - fifth-sixth",0,"TERM1025"
"525",0,"8PSK - fifth-sixth",0,"TERM850"
"526",0,"QPSK - fifth-sixth",0,"TERM480"
"527",0,"8PSK - three-fourth",0,"TERM928"
"528",0,"8PSK - fifth-sixth",0,"TERM782"
"529",0,"8PSK - three-fourth",0,"TERM823"
"530",0,"8PSK - fifth-sixth",0,"TERM803"
